"Var1","Freq","prop","sample"
"Malignant",81326,0.813520326504481,"TCGA-AN-A0FK"
"Myoepi",8361,0.0836367637644046,"TCGA-AN-A0FK"
"Plasma",30,0.000300096030729834,"TCGA-AN-A0FK"
"Stromal",8583,0.0858574743918054,"TCGA-AN-A0FK"
"T",203,0.00203064980793854,"TCGA-AN-A0FK"
"unassigned",176,0.00176056338028169,"TCGA-AN-A0FK"
"B",23,0.000230066719348611,"TCGA-AN-A0FL"
"DC_Mast",63,0.00063018275299837,"TCGA-AN-A0FL"
"Macrophage",1000,0.010002900841244,"TCGA-AN-A0FL"
"Malignant",90030,0.900561162737194,"TCGA-AN-A0FL"
"Myoepi",5771,0.0577267407548189,"TCGA-AN-A0FL"
"Plasma",9,9.00261075711957e-05,"TCGA-AN-A0FL"
"Stromal",2774,0.0277480469336107,"TCGA-AN-A0FL"
"T",216,0.0021606265817087,"TCGA-AN-A0FL"
"unassigned",85,0.000850246571505737,"TCGA-AN-A0FL"
"B",189,0.00189060499359795,"TCGA-AN-A0FN"
"DC_Mast",379,0.00379121318822023,"TCGA-AN-A0FN"
"Macrophage",6598,0.0660011203585147,"TCGA-AN-A0FN"
"Malignant",48733,0.487485995518566,"TCGA-AN-A0FN"
"Myoepi",12662,0.126660531370038,"TCGA-AN-A0FN"
"Plasma",13,0.000130041613316261,"TCGA-AN-A0FN"
"Stromal",26037,0.260453345070423,"TCGA-AN-A0FN"
"T",5357,0.0535871478873239,"TCGA-AN-A0FN"
"B",447,0.00447143085787452,"TCGA-AN-A0FS"
"DC_Mast",447,0.00447143085787452,"TCGA-AN-A0FS"
"Macrophage",19748,0.197543213828425,"TCGA-AN-A0FS"
"Malignant",45790,0.458046574903969,"TCGA-AN-A0FS"
"Myoepi",7502,0.075044014084507,"TCGA-AN-A0FS"
"Plasma",11,0.000110035211267606,"TCGA-AN-A0FS"
"Stromal",19270,0.192761683738796,"TCGA-AN-A0FS"
"T",6597,0.0659911171574904,"TCGA-AN-A0FS"
"unassigned",156,0.00156049935979513,"TCGA-AN-A0FS"
"B",15,0.000150064527746931,"TCGA-AN-A0FV"
"DC_Mast",72,0.00072030973318527,"TCGA-AN-A0FV"
"Macrophage",10918,0.109226967596066,"TCGA-AN-A0FV"
"Malignant",54376,0.543993917384475,"TCGA-AN-A0FV"
"Myoepi",6114,0.0611663015096491,"TCGA-AN-A0FV"
"Plasma",2,2.00086036995908e-05,"TCGA-AN-A0FV"
"Stromal",26814,0.268255349800414,"TCGA-AN-A0FV"
"T",1589,0.0158968356393249,"TCGA-AN-A0FV"
"unassigned",57,0.000570245205438338,"TCGA-AN-A0FV"
"B",94,0.000940423190435696,"TCGA-AN-A0FX"
"DC_Mast",325,0.00325146315842129,"TCGA-AN-A0FX"
"Macrophage",5989,0.0599169626331849,"TCGA-AN-A0FX"
"Malignant",59530,0.595568005602521,"TCGA-AN-A0FX"
"Myoepi",6052,0.0605472462608174,"TCGA-AN-A0FX"
"Plasma",38,0.000380171076984643,"TCGA-AN-A0FX"
"Stromal",24051,0.240618278225201,"TCGA-AN-A0FX"
"T",3804,0.038057125706568,"TCGA-AN-A0FX"
"unassigned",72,0.000720324145865639,"TCGA-AN-A0FX"
"B",19,0.000190083636800192,"TCGA-AN-A0FZ"
"DC_Mast",101,0.00101044459562207,"TCGA-AN-A0FZ"
"Macrophage",4864,0.0486614110208492,"TCGA-AN-A0FZ"
"Malignant",53429,0.534525191084077,"TCGA-AN-A0FZ"
"Myoepi",7271,0.0727420064828525,"TCGA-AN-A0FZ"
"Plasma",8,8.00352154948177e-05,"TCGA-AN-A0FZ"
"Stromal",32368,0.323822481892032,"TCGA-AN-A0FZ"
"T",1804,0.0180479410940814,"TCGA-AN-A0FZ"
"unassigned",92,0.000920404978190404,"TCGA-AN-A0FZ"
"B",564,0.00564259559397323,"TCGA-AN-A0XP"
"DC_Mast",2339,0.0234007643516017,"TCGA-AN-A0XP"
"Macrophage",18142,0.181503491606139,"TCGA-AN-A0XP"
