"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","ACAA1","All Genes","DeepSpaCE",0.0531342605243788,1.02899747582416,0.57332591555111,0.0357806450980069,0.0229584154905575,0.601941519537491
"test","ACAA1","All Genes","GHIST",0.162928366431275,1.07638469998672,0.473982620316784,0.0414167108651013,0.127185004270858,0.603296682237759
"test","ACAA1","All Genes","GeneCodeR",0.123959672529761,1.05290502534112,0.497354274775048,0.0405086227355591,0.0470607237039943,0.58992571014776
"test","ACAA1","All Genes","HisToGene",0.127393872572065,1.03960700183588,0.484494566342795,0.0676738541832846,0.07402892294778,0.620448957075424
"test","ACAA1","All Genes","Hist2ST",0.116559110329876,1.06256697191466,0.48512757644984,0.0684658137502223,0.0669454701180763,0.615985233710361
"test","ACAA1","All Genes","ST-Net",0.155652699195958,1.10587161382546,0.478967607168714,0.0488469275530028,0.0853527226606149,0.613170460027611
"test","ACAA1","All Genes","THItoGene",0.0979496170895776,1.08814830861186,0.492983775575072,0.058820632524948,0.0544144128043256,0.595648083367208
"test","ACAA1","All Genes","iStar",0.0545921084650381,1.32429038885582,0.619603968125439,0.0298872731329113,0.0663047029083023,0.577167897805412
"test","ACER3","All Genes","DeepPT",0.02785264191901,1.5358017992845,0.805972043698577,0.0286829501024379,0.0135237077726127,0.508236111770872
"test","ACER3","All Genes","DeepSpaCE",0.00304195189089599,1.02743051086062,0.838561312079871,0.0278620163599659,0.00140774727199879,0.531867040064881
"test","ACER3","All Genes","GHIST",0.00058336153816678,1.07560130259999,0.776816856963151,0.0129295732175427,0.0057790952713958,0.507523036027406
"test","ACER3","All Genes","GeneCodeR",0.0153898719726389,1.11168005838756,0.78530148767357,0.0278699889958051,0.0061828995750556,0.516853340096354
"test","ACER3","All Genes","HisToGene",0.00834385908706803,1.05462143741056,0.775367066915952,0.0284459579663273,0.00638419213901114,0.519642172297917
"test","ACER3","All Genes","Hist2ST",0.0493689457631453,1.02591088892657,0.768273643489555,0.0387291562434339,0.0232537982591905,0.572823112287291
"test","ACER3","All Genes","ST-Net",0.0348207557587731,1.22410797708307,0.77461275915199,0.0310078950025485,0.0176377098271146,0.52782385470659
"test","ACER3","All Genes","THItoGene",0.0275011799872493,1.05441796299992,0.777001256894032,0.0355489730678074,0.0129972535157404,0.549812430379498
"test","ACER3","All Genes","iStar",0.0300868648229531,1.35670669229338,0.846947320027405,0.0248026000890067,0.0471736435955136,0.54538354567042
"test","ADAM15","All Genes","DeepPT",0.136823783309547,2.50878816500525,0.271287066404018,0.0585210286793761,0.126400864238021,0.570820446159343
"test","ADAM15","All Genes","DeepSpaCE",-0.00161661078245744,2.71824920958915,0.306353766888289,0.0465373977726362,0.00650399933402401,0.480148150868059
"test","ADAM15","All Genes","GHIST",0.170200240920258,1.77642062143762,0.217029580469484,0.0574386377074865,0.162159660707629,0.570534646646622
"test","ADAM15","All Genes","GeneCodeR",0.0675687624533971,2.2908546467391,0.250794715955761,0.0450844234565877,0.0463238348642223,0.522182622912684
"test","ADAM15","All Genes","HisToGene",0.0423932320727485,2.12525081716008,0.195491708565201,0.0654201781812099,0.0440235498548099,0.559195355002182
