"x","y","celltype","model"
7162.673,128.87273,"DC_Mast","ground truth"
367.65753,128.82191,"Macrophage","ground truth"
742.1829,131.89024,"Malignant","ground truth"
972.5137,129.36612,"Malignant","ground truth"
1383.715,132.94301,"Malignant","ground truth"
1670.4468,129.44681,"Stromal","ground truth"
2044.2235,131.35294,"Malignant","ground truth"
5903.1465,130.30667,"Macrophage","ground truth"
228.92554,135.31383,"Malignant","ground truth"
583.86365,132.36363,"Malignant","ground truth"
610.29456,135.23256,"Malignant","ground truth"
639.0111,131.8,"Malignant","ground truth"
866.5207,129.86777,"Malignant","ground truth"
984.52747,127.59341,"Malignant","ground truth"
1019.7986,134.96527,"Malignant","ground truth"
1268.1163,131.47675,"Malignant","ground truth"
1594.7906,132.04651,"Malignant","ground truth"
5929.1665,132.16667,"B","ground truth"
719.13916,134.26956,"Malignant","ground truth"
811.98956,135.45296,"Malignant","ground truth"
833.31903,130.21472,"Malignant","ground truth"
954.18036,133.22469,"Malignant","ground truth"
5714.088,132.29825,"T","ground truth"
290.79166,134.125,"Malignant","ground truth"
655.02606,133.63478,"Malignant","ground truth"
5775.7407,134.16667,"T","ground truth"
6063,134.15094,"B","ground truth"
7143.3687,133.57895,"Macrophage","ground truth"
207.83018,134.28302,"Malignant","ground truth"
361.34482,134.05173,"Stromal","ground truth"
845.5082,136.18033,"Malignant","ground truth"
1069.4865,137.25676,"Stromal","ground truth"
1160.3036,133.80357,"T","ground truth"
1280.3881,135.08955,"Malignant","ground truth"
1329.7042,139.30986,"Malignant","ground truth"
1500.6061,132.9697,"Malignant","ground truth"
1755.9065,137.1295,"Malignant","ground truth"
5793.5,134.44,"T","ground truth"
5851.4346,134.56522,"T","ground truth"
6633.968,136.36217,"Stromal","ground truth"
298.81082,134.94595,"Malignant","ground truth"
328.24124,134.79385,"Malignant","ground truth"
876.06335,139.71945,"Malignant","ground truth"
926.96204,135.17722,"Malignant","ground truth"
1326.7411,139.66965,"Malignant","ground truth"
1400.4174,137.7913,"Malignant","ground truth"
1475.0116,139.81503,"Malignant","ground truth"
5868.6,135.88,"Plasma","ground truth"
7300.9014,135.17424,"Malignant","ground truth"
305.20456,135.77272,"Malignant","ground truth"
390.0304,140.65654,"Macrophage","ground truth"
