"","corr","gene","n","type","model","sample"
"778",0.558276107154677,"AQP3","top_50","svg","stardist","breast_sample2"
"779",0.592215602757443,"DSC2","top_50","svg","stardist","breast_sample2"
"780",0.584503279055805,"SLC5A6","top_50","svg","stardist","breast_sample2"
"781",0.539153269205719,"SQLE","top_50","svg","stardist","breast_sample2"
"782",0.297061662389837,"KRT23","top_50","svg","stardist","breast_sample2"
"783",0.744838061104146,"TPD52","top_50","svg","stardist","breast_sample2"
"784",0.47106813106404,"SDC4","top_50","svg","stardist","breast_sample2"
"785",0.226577472508716,"SFRP4","top_50","svg","stardist","breast_sample2"
"786",0.586520859909441,"RUNX1","top_50","svg","stardist","breast_sample2"
"787",0.615731391488693,"MDM2","top_50","svg","stardist","breast_sample2"
"788",0.645127212391845,"ENAH","top_50","svg","stardist","breast_sample2"
"789",0.707953912573022,"KRT8","top_50","svg","stardist","breast_sample2"
"790",0.355444969365416,"LYZ","top_50","svg","stardist","breast_sample2"
