"","x_cord","y_cord","gene"
"Cell_5001",75.74269,228.91228,3.40547213310951
"Cell_5031",131.45454,229.81818,0
"Cell_5032",226.89473,230.63158,0
"Cell_5035",323.44232,231.4423,1.9821699268872
"Cell_4937",46.925,227.74374,3.38151906169191
"Cell_5090",190.56522,233.28986,3.1368041173504
"Cell_5003",418.62338,230.82468,3.28389296443035
"Cell_5066",252.61157,237.3967,0
"Cell_5089",168.8772,233.33333,2.13163873296182
"Cell_5118",612.5301,234.85542,0
"Cell_5088",89.347824,237.30435,2.90031120215831
"Cell_5116",139.69388,234.95918,3.94317475402057
"Cell_5143",367.73785,236.93204,3.55675555344633
"Cell_5144",533.1539,235.4077,0
"Cell_5145",634.35,234.525,2.95685570976677
"Cell_5142",328.2,235.76666,2.93010873657655
"Cell_5117",345.669,236.82394,3.6994691941658
"Cell_5139",128.96297,235.59259,2.1489326980197
"Cell_5208",53.638298,236.34042,2.49684609583033
"Cell_5140",202.392,236.736,3.62681584071174
"Cell_5211",233.55186,238.32365,2.48335209168786
"Cell_5210",155.70909,241.61818,3.13453920249263
"Cell_5209",112.42105,236.89473,0
"Cell_5192",471.67856,237.52678,1.01955135863194
"Cell_5213",591.92,237.50667,0
"Cell_5212",261.9014,238.88733,0
"Cell_5268",134.15573,242.90984,2.19365495032309
"Cell_5243",627.617,240.89362,2.53735567566085
"Cell_5242",411.50385,241.06154,2.74511338141306
"Cell_5240",66.97647,240.62354,1.31933371472204
"Cell_5269",322.34952,243.54369,3.21515693528316
"Cell_5300",598,241.86792,0
"Cell_5295",42.07595,243.72151,2.5840863619006
"Cell_5356",347.46393,244.35051,3.9686420559865
"Cell_5298",376.96396,241.84685,3.56757983914497
"Cell_5299",577.7059,240.64706,0
"Cell_5297",201.56863,242.2745,1.65777325044062
"Cell_5141",298.1486,237.47389,1.99859704443947
"Cell_5354",33.753246,243.90909,2.455892669583
"Cell_5296",191.45963,243.64597,3.77280727981326
"Cell_5330",124.76119,244.47762,3.33135490331641
"Cell_5331",181.08888,246.59555,3.40029866804407
"Cell_5357",360.22012,243.63522,3.30788987532945
"Cell_5355",155.17342,245.79768,3.25539839213437
"Cell_5332",448.72223,246,1.6019593593363
"Cell_5396",282.5,244.30263,2.42429775822308
"Cell_5376",50.72388,246.46269,3.7463475271255
"Cell_5377",256.56757,248.16216,1.15584951764529
"Cell_5397",426.82693,244.89423,3.01642571253984
"Cell_5353",17.290817,247.13776,2.75778883499457
"Cell_5420",73.440254,250.20126,2.11047531540804
"Cell_5421",291.2204,250.88487,3.41606715399081
"Cell_5448",612.944,251.208,3.22471081129985
"Cell_5445",58.62406,248.87218,3.50826375781141
"Cell_5446",103.09876,249.59877,2.19365495032309
"Cell_5527",213.76086,253.34782,3.32182521521722
"Cell_5447",225.79259,248.92592,3.85669688169053
"Cell_5466",607.51166,248.2093,0
"Cell_5494",136.02684,252.72484,2.18453484284584
"Cell_5496",461.5702,252.1228,1.38762091978184
"Cell_5528",348.86,249.7,1.62933873651233
"Cell_5464",204.63435,251.06168,3.29456793706483
"Cell_5567",41.73171,251.56097,3.4988874316409
"Cell_5529",372.19736,252.73027,3.41937861148483
"Cell_5422",636.50574,249.08046,3.40843849651901
"Cell_5568",329.31677,250.30435,3.68175654811758
"Cell_5610",362.32877,256.4041,3.17366275714021
"Cell_5569",519.95496,253.7027,0
"Cell_5591",172.46378,253.62318,1.3746452808056
"Cell_5641",272.89517,256.83066,3.76152675580108
"Cell_5593",445.725,253.2625,0
"Cell_5594",600.9149,252.87234,3.16124503131206
"Cell_5639",94.864075,256.83496,2.48026363152708
"Cell_5592",339.37,252.56,4.11476112396147
"Cell_5640",124.635414,254.70833,3.25360585488244
"Cell_5662",349.59723,257.89584,3.33710982319586
"Cell_5643",576.1111,258.5889,0
"Cell_5689",410.22748,256.8057,3.03700608463623
"Cell_5642",508.35,258.04,0
"Cell_5611",398.89163,255.61577,2.18194556345838
"Cell_5716",623.0459,256.69724,2.73501084785217
"Cell_5711",35.40625,258.5104,3.55460220027095
"Cell_5713",222.76712,261.50684,2.66946777947641
"Cell_5714",262.87964,258.60184,3.32944280566739
"Cell_5712",69.05303,260.0909,3.13939807419663
"Cell_5715",579.9143,257.22858,0
"Cell_5737",326.8387,261.21774,3.8728463767001
"Cell_5767",167.57004,261.17264,3.00574316472103
"Cell_5765",50.22689,261.36136,3.75391398173293
"Cell_5770",588.2432,259.51352,2.2601280735994
"Cell_5766",101.915886,262.40186,2.88208853558089
"Cell_5769",566.76666,261.4,0
"Cell_5822",607.9431,260.44714,3.56883500888677
"Cell_5771",623.6144,266.589,4.31254628812767
"Cell_5882",635.3333,264.12964,3.03010413876439
"Cell_5849",180.6962,264.96204,2.84652706599
"Cell_5847",25.016304,266.29892,3.46936340169011
"Cell_5688",306.27902,259.0889,3.55663025408485
"Cell_5736",16.589743,260.92307,2.99621496793527
"Cell_5820",380.40115,265.64536,3.11955300334829
"Cell_5821",557.2684,271.013,1.90282061663388
"Cell_5878",87.875,264.4375,1.73929530656628
"Cell_5902",151.52055,265.47946,3.05796847072319
"Cell_5880",280.33572,265.775,3.08364596008124
"Cell_5903",192.38461,265.74176,2.95159452514256
"Cell_5879",207.16,264.552,2.90557356114394
"Cell_5881",599.871,265.5269,3.96302722164061
"Cell_5988",610.36957,269.56522,4.37888476660791
"Cell_5923",351.21738,268.36758,3.38618628278428
"Cell_5968",329.43103,270.43677,3.54335923841405
"Cell_5944",574.6847,268.1081,2.48026363152708
"Cell_5943",370.48022,269.25424,3.66474497467757
"Cell_5945",587.82434,267.74326,4.88150057406347
"Cell_5967",227.06433,270.45615,3.15650436734484
"Cell_5986",110.97122,267.52518,2.27500560673027
"Cell_5984",41.19149,270.92554,4.3133865891723
"Cell_5985",52.166668,270.7564,2.2601280735994
"Cell_6015",79.24286,271.15714,3.22879508414025
"Cell_5987",234.17188,272.01562,2.37872219795999
"Cell_6016",252.97437,272.94873,0
"Cell_6038",289.46957,271.9652,2.31065308608178
"Cell_6036",20.658537,271.5366,4.03802777602107
"Cell_6037",175.64844,274.85156,1.80660397850632
"Cell_6041",552.1429,270.85715,0
"Cell_6065",72.520836,273.72916,1.96782686288089
"Cell_6092",183.55446,276.77228,3.22879508414025
"Cell_6091",127.43104,269.31897,2.45245910258359
"Cell_6040",541.9672,272.0492,0
"Cell_6094",580.6719,274.39062,4.55044666279592
"Cell_6090",8.840909,273.61365,3.6994691941658
"Cell_6039",320.48087,277.42078,2.66060824320292
"Cell_6066",306.35263,277.8111,3.30777764332176
"Cell_6093",417.2958,274.02893,1.51490519605617
