"","x_cord","y_cord","group_broad_type"
"cell925",281,287.07843,"Malignant"
"cell928",120.15748,290.24408,"Malignant"
"cell929",183.0065,292.45456,"Malignant"
"cell930",255.65,291.20834,"Malignant"
"cell931",325.0548,287.35617,"Malignant"
"cell932",156.41936,287.0887,"Stromal"
"cell935",353.49796,292.03674,"Malignant"
"cell936",392.05264,292.4,"Malignant"
"cell937",518.0617,289.74075,"Stromal"
"cell939",565.2615,287.44495,"Myoepi"
"cell941",581.4185,291.14096,"Malignant"
"cell942",329.58798,291.3691,"Malignant"
"cell944",219.51562,289.09375,"Stromal"
"cell945",85.55556,292.66666,"Malignant"
"cell947",343.11765,293.7745,"Malignant"
"cell951",443.2564,291.2564,"T"
"cell952",24.044945,292.17978,"Malignant"
"cell953",266.87225,296.68613,"Malignant"
"cell955",591.05554,294.9222,"Myoepi"
"cell957",304.6854,294.83145,"Malignant"
"cell958",168.98347,290.81818,"Malignant"
"cell960",235.41454,291.36752,"Stromal"
"cell961",279.55173,294.12643,"Malignant"
"cell963",61.89051,295.0292,"Malignant"
"cell964",76.0625,292.72916,"Malignant"
"cell968",602.1277,298.18723,"Myoepi"
"cell972",160.66394,295.7459,"Stromal"
"cell975",570.1648,300.80682,"Myoepi"
"cell976",376.7473,293.16666,"Stromal"
"cell978",405.3889,300.4192,"Stromal"
"cell980",365.2857,302.38623,"Malignant"
"cell982",69.629265,301.90732,"Malignant"
"cell990",172.0138,302.08966,"Malignant"
"cell991",245.56288,300.38324,"Malignant"
"cell992",522.8601,299.43524,"Malignant"
"cell996",288.63916,297.6701,"Malignant"
"cell998",25.588236,302.9647,"Macrophage"
"cell999",229.72566,301.55753,"Malignant"
"cell1003",506.3889,302.77777,"Stromal"
"cell1004",535.11664,302.86667,"Myoepi"
"cell1005",553.24255,305.94043,"Myoepi"
"cell1008",189.95918,300.42856,"Macrophage"
"cell1009",319.35483,304.7258,"Malignant"
"cell1012",52.6125,306.45,"Malignant"
"cell1013",329.82278,303.02533,"Malignant"
"cell1015",152.36957,304.49637,"Malignant"
"cell1016",44.38889,303.98148,"Malignant"
"cell1017",117.3617,304.68085,"Stromal"
"cell1018",347.99405,308.5238,"Malignant"
"cell1020",88.63513,305.06757,"Myoepi"
"cell1023",530.58234,308.5647,"Malignant"
"cell1024",310.50314,306.56604,"Malignant"
"cell1026",15.178011,309.77487,"Stromal"
"cell1027",246.98734,306.51898,"Malignant"
"cell1028",9.022727,305.13635,"Macrophage"
"cell1030",273.49606,308.88977,"Malignant"
"cell1034",507.68323,313.58386,"Myoepi"
