data,permutation,subgroup,cindex
ST-Net,88,HER2+,0.424664603
ST-Net,89,HER2+,0.420634921
ST-Net,90,HER2+,0.442292769
ST-Net,91,HER2+,0.550362439
ST-Net,92,HER2+,0.423449099
ST-Net,93,HER2+,0.388215488
ST-Net,94,HER2+,0.521450484
ST-Net,95,HER2+,0.705147426
ST-Net,96,HER2+,0.399247312
ST-Net,97,HER2+,0.37024999
ST-Net,98,HER2+,0.566382302
ST-Net,99,HER2+,0.546054102
ST-Net,100,HER2+,0.440562804
THItoGene,1,HER2+,0.497891831
THItoGene,2,HER2+,0.321115097
THItoGene,3,HER2+,0.246291296
THItoGene,4,HER2+,0.449603175
THItoGene,5,HER2+,0.439432291
THItoGene,6,HER2+,0.461538462
THItoGene,7,HER2+,0.375852884
