"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","risk_cat","pval.txt","pval","data","subgroup"
879,30,1,0,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
881,29,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
943,28,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1013,27,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1093,26,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1239,25,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1246,24,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1248,23,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1269,22,0,1,0.923991402116402,0.0466198218745959,1,0.843305758164051,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1272,21,1,0,0.879991811539431,0.0674859998264191,1,0.770964611662635,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1308,20,0,1,0.879991811539431,0.0674859998264191,1,0.770964611662635,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1430,19,1,0,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1448,18,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1532,17,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1614,16,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1631,15,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1639,14,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1728,13,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
1972,12,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2128,11,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2161,10,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2248,9,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2335,8,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2426,7,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2515,6,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2629,5,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
2632,4,0,1,0.833676453037355,0.0864773772772889,0.987659424257376,0.703700497640197,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
