"pred_type","gene","model_id","dataset","cor_pearson","ssim"
"test","PROSER1","GeneCodeR","her2+",0.0540256958305773,0.0198018100470633
"test","PRPF6","GeneCodeR","her2+",0.113358020209187,0.0433101555237608
"test","PRPSAP1","GeneCodeR","her2+",0.10826770124286,0.0338371564580996
"test","PSCA","GeneCodeR","her2+",0.0461137704537872,0.015074415210516
"test","PSMD4","GeneCodeR","her2+",0.108319464970101,0.0411386601277957
"test","PSTPIP1","GeneCodeR","her2+",0.0348066163584427,0.0138493613380047
"test","PTGDS","GeneCodeR","her2+",0.0610804613753283,0.0216320569446683
"test","PTOV1","GeneCodeR","her2+",0.188129303433512,0.107118103502433
"test","PTP4A3","GeneCodeR","her2+",0.0653491133566121,0.0357877829728621
"test","PTPRC","GeneCodeR","her2+",0.0254325497380267,0.0096962948598429
"test","PTPRJ","GeneCodeR","her2+",0.0948433343799464,0.0301037292194275
"test","PTRF","GeneCodeR","her2+",0.0416444241408312,0.0373301334358492
"test","PTRH1","GeneCodeR","her2+",0.010973054903036,0.00454623913419702
"test","PUS3","GeneCodeR","her2+",0.0272832460932924,0.0105525119546747
"test","PWP1","GeneCodeR","her2+",0.0885879766568373,0.0273036686032617
"test","PWWP2B","GeneCodeR","her2+",0.11041372347157,0.057480961610108
"test","PXDN","GeneCodeR","her2+",0.136648400033449,0.0660594005942829
"test","PYURF","GeneCodeR","her2+",0.0587442022609562,0.019711303855237
"test","QSOX1","GeneCodeR","her2+",0.146433777856825,0.0781953730846473
"test","R3HDM2","GeneCodeR","her2+",0.0624030212886274,0.0190477381073435
"test","RAB11FIP1","GeneCodeR","her2+",0.129608748410914,0.0459386281825867
"test","RAB3A","GeneCodeR","her2+",0.0609074454798151,0.0149936405717315
"test","RAB3GAP1","GeneCodeR","her2+",0.130177856836258,0.0487631052276497
"test","RAB3IL1","GeneCodeR","her2+",0.0104170653587145,0.00621823353043088
"test","RABGAP1L","GeneCodeR","her2+",0.0464515444348878,0.0149923815552782
"test","RALBP1","GeneCodeR","her2+",0.0345843705717319,0.00925053257589769
"test","RALGAPA2","GeneCodeR","her2+",0.0571651889329683,0.0185174117159289
"test","RAMP2","GeneCodeR","her2+",-0.0176039348636796,0.00046163916775801
"test","RAP1B","GeneCodeR","her2+",0.0100361782207417,0.00502335808152742
"test","RARS2","GeneCodeR","her2+",0.027955541224472,0.00546736357276169
"test","RASA2","GeneCodeR","her2+",0.0112990494589401,0.00425486038455528
"test","RASGRP2","GeneCodeR","her2+",0.0199473380696572,0.00619940199896016
"test","RASSF3","GeneCodeR","her2+",0.0625846124871726,0.0193955199660818
"test","RBL1","GeneCodeR","her2+",0.0362071001165284,0.00924241740487515
"test","RBM42","GeneCodeR","her2+",0.140906713820197,0.0608174827547197
